Date,Topic,Work due
Tue - 8/25,Syllabus,
,:ref:`text_editors`,
,:ref:`html`,
Thu - 8/27,:ref:`html_tutorial`,Have Sublime on your own computer by class
,:ref:`view_file_extensions`,"Optionally, purchase and install `CSS HTML Validator <https://www.htmlvalidator.com/buy/academic/>`_."
,Introduce :ref:`assignment_01_basic_html`,
Tue - 9/1,:ref:`assignment_01_basic_html`,Make sure you have read :ref:`assignment_01_basic_html` and are ready to work with your partner in class. Come with topic ideas.
,Meet via ZOOM ONLY,"After working with your partner in class today, continue work on your :ref:`assignment_01_basic_html` pages on your own."
Thu - 9/3,:ref:`directories`,
,:ref:`dvcs_concepts`,
Tue - 9/8,:ref:`dvcs_tutorial`,
Thu - 9/10,"Keep working on git, assign CSS tutorial",Assignment 1 - HTML
Tue - 9/15,"DVCS Branching, CSS assignment",Assignment 2 - DVCS
Thu - 9/17,"CSS Layout, work on CSS assignment",
,CSS Menu: https://www.w3schools.com/css/css_navbar.asp,
Tue - 9/22,Bootstrap tutorial,Assignment 3 - CSS
Thu - 9/24,Bootstrap Grid,Assignment 4 - Bootstrap
Tue - 9/29,"Collaboration, github issues, brainstorm assignment 5",
Thu - 10/1,Work on assignment 5,Assignment 5 - Final Project Version
Tue - 10/6,Amazon Web Services - get account. Planning period for Assignment 5 presentation,Assignment 6 - AWS Setup
Thu - 10/8,"Present Assignment 5, AWS tutorial",
Tue - 10/13,Command line tutorial / AWS setup,"Assignment 7 - Using PHP ""include"""
Thu - 10/15,AWS setup / Application servers,
Tue - 10/20,Talk about application servers,Assignment 8 - DNS and Web Site performance
Thu - 10/22,Explain DNS,
Tue - 10/27,Content management systems,Assignment 9 - WordPress Install
Thu - 10/29,Work on WordPress,
Tue - 11/3,Work on WordPress,
Thu - 11/5,Scalable Vector Graphics,Assignment 10 - WordPress
Tue - 11/10,Google analytics / SVG work,
Thu - 11/12,Static Content Generators / Sphinx / RST,
Tue - 11/17,Get started on assignment 12,Assignment 11 - SVG
Thu - 11/19,Work on Assignment 12,
Tue - 11/24,"Videos on Advanced DNS, Load Balancing,CDN. Work on S3",Collaborative Leadership Reflection
?,Polish final website,Assignment 12 - Static content website
?,Present projects,
,,
,,
